x,y,layer1,layer2,voltage1,voltage2,current
64.6152,520.385,TOP_LAYER,GND,2.04669e-07,2.04669e-07,2.01713e-18
64.6152,520.385,GND,PWR,2.04669e-07,2.04669e-07,-8.23107e-19
64.6152,520.385,PWR,BOTTOM_LAYER,2.04669e-07,2.04669e-07,-1.00856e-18
64.6152,1820.38,TOP_LAYER,GND,3.29999,3.29999,3.38418e-11
64.6152,1820.38,GND,PWR,3.29999,3.29999,2.45501e-11
64.6152,1820.38,PWR,BOTTOM_LAYER,3.29999,3.29999,-1.69209e-11
64.6152,1920.38,TOP_LAYER,GND,2.89174e-07,2.89174e-07,-0
64.6152,1920.38,GND,PWR,2.89174e-07,2.89174e-07,9.14563e-19
64.6152,1920.38,PWR,BOTTOM_LAYER,2.89174e-07,2.89174e-07,-0
148.176,535.824,TOP_LAYER,GND,2.04346e-07,2.04346e-07,-5.51512e-19
148.176,535.824,GND,PWR,2.04346e-07,2.04346e-07,4.1259e-19
148.176,535.824,PWR,BOTTOM_LAYER,2.04346e-07,2.04346e-07,8.27268e-19
174.176,1041.51,TOP_LAYER,GND,2.40608e-07,2.40405e-07,2.11252e-06
174.176,1041.51,GND,PWR,2.40405e-07,2.40405e-07,5.00109e-20
174.176,1041.51,PWR,BOTTOM_LAYER,2.40405e-07,2.40405e-07,5.51512e-19
187.176,2007.82,TOP_LAYER,GND,2.96931e-07,2.96131e-07,8.33348e-06
187.176,2007.82,GND,PWR,2.96131e-07,2.96131e-07,5.00109e-20
187.176,2007.82,PWR,BOTTOM_LAYER,2.96131e-07,2.96131e-07,5.51512e-19
194.176,1300.14,TOP_LAYER,GND,2.54178e-07,2.5438e-07,-2.11252e-06
194.176,1300.14,GND,PWR,2.5438e-07,2.5438e-07,7.50163e-20
194.176,1300.14,PWR,BOTTOM_LAYER,2.5438e-07,2.5438e-07,-0
265.568,1038.43,TOP_LAYER,GND,3.3,3.3,-0.0001
265.568,1038.43,GND,PWR,3.3,3.3,-0.0001
265.568,1038.43,PWR,BOTTOM_LAYER,3.3,3.3,-0
265.568,1340.43,TOP_LAYER,GND,3.3,3.3,0.0001
265.568,1340.43,GND,PWR,3.3,3.3,0.0001
265.568,1340.43,PWR,BOTTOM_LAYER,3.3,3.3,-0
272.176,106.432,TOP_LAYER,GND,2.04627e-07,2.04627e-07,2.75756e-19
272.176,106.432,GND,PWR,2.04627e-07,2.04627e-07,3.75082e-20
272.176,106.432,PWR,BOTTOM_LAYER,2.04627e-07,2.04627e-07,2.75756e-19
351.568,1978.43,TOP_LAYER,GND,3.29999,3.29999,-0.0001
351.568,1978.43,GND,PWR,3.29999,3.29999,-0.0001
351.568,1978.43,PWR,BOTTOM_LAYER,3.29999,3.29999,6.26571e-12
377.176,435.824,TOP_LAYER,GND,2.00846e-07,2.00846e-07,-5.51512e-19
377.176,435.824,GND,PWR,2.00846e-07,2.00846e-07,3.75082e-20
377.176,435.824,PWR,BOTTOM_LAYER,2.00846e-07,2.00846e-07,2.75756e-19
380.568,524.432,TOP_LAYER,GND,3.3,3.3,6.26571e-12
380.568,524.432,GND,PWR,3.3,3.3,9.37484e-12
380.568,524.432,PWR,BOTTOM_LAYER,3.3,3.3,-6.26571e-12
397.176,1387.82,TOP_LAYER,GND,2.68068e-07,2.67268e-07,8.3335e-06
397.176,1387.82,GND,PWR,2.67268e-07,2.67268e-07,5.00109e-20
397.176,1387.82,PWR,BOTTOM_LAYER,2.67268e-07,2.67268e-07,5.51512e-19
404.237,1154.43,TOP_LAYER,GND,3.3,3.3,6.26571e-12
404.237,1154.43,GND,PWR,3.3,3.3,1.07953e-11
404.237,1154.43,PWR,BOTTOM_LAYER,3.3,3.3,-0
409.176,590.824,TOP_LAYER,GND,1.36771e-07,1.4637e-07,-0.0001
409.176,590.824,GND,PWR,1.4637e-07,1.4637e-07,2.50054e-20
409.176,590.824,PWR,BOTTOM_LAYER,1.4637e-07,1.4637e-07,2.75756e-19
436.822,52.9224,TOP_LAYER,GND,2.06185e-07,2.06185e-07,-7.93519e-19
436.822,52.9224,GND,PWR,2.06185e-07,2.06185e-07,1.11532e-18
436.822,52.9224,PWR,BOTTOM_LAYER,2.06185e-07,2.06185e-07,7.93519e-19
436.822,218.274,TOP_LAYER,GND,2.05425e-07,2.05425e-07,7.93519e-19
436.822,218.274,GND,PWR,2.05425e-07,2.05425e-07,-2.87824e-19
436.822,218.274,PWR,BOTTOM_LAYER,2.05425e-07,2.05425e-07,-7.93519e-19
469.176,385.136,TOP_LAYER,GND,2.03476e-07,2.03476e-07,-2.75756e-19
469.176,385.136,GND,PWR,2.03476e-07,2.03476e-07,2.50054e-20
469.176,385.136,PWR,BOTTOM_LAYER,2.03476e-07,2.03476e-07,5.51512e-19
488.488,985.824,TOP_LAYER,GND,2.33678e-07,2.33678e-07,-5.51512e-19
488.488,985.824,GND,PWR,2.33678e-07,2.33678e-07,5.00109e-20
488.488,985.824,PWR,BOTTOM_LAYER,2.33678e-07,2.33678e-07,2.75756e-19
499.568,727.034,TOP_LAYER,GND,3.3,3.3,0.0001
499.568,727.034,GND,PWR,3.3,3.3,0.0001
499.568,727.034,PWR,BOTTOM_LAYER,3.3,3.3,-0
509.064,1820.35,TOP_LAYER,GND,3.40328e-07,3.33129e-07,7.49996e-05
509.064,1820.35,GND,PWR,3.33129e-07,3.33129e-07,5.00109e-20
509.064,1820.35,PWR,BOTTOM_LAYER,3.33129e-07,3.33129e-07,5.51512e-19
585.988,525.824,TOP_LAYER,GND,2.06469e-07,2.06469e-07,8.27268e-19
585.988,525.824,GND,PWR,2.06469e-07,2.06469e-07,3.75082e-20
585.988,525.824,PWR,BOTTOM_LAYER,2.06469e-07,2.06469e-07,2.75756e-19
665.026,730.218,TOP_LAYER,GND,2.19423e-07,2.19423e-07,-5.51512e-19
665.026,730.218,GND,PWR,2.19423e-07,2.19423e-07,5.00109e-20
665.026,730.218,PWR,BOTTOM_LAYER,2.19423e-07,2.19423e-07,2.75756e-19
699.176,847.824,TOP_LAYER,GND,2.28368e-07,2.28368e-07,-5.51512e-19
699.176,847.824,GND,PWR,2.28368e-07,2.28368e-07,5.00109e-20
699.176,847.824,PWR,BOTTOM_LAYER,2.28368e-07,2.28368e-07,2.75756e-19
750.568,721.432,TOP_LAYER,GND,3.3,3.3,6.26571e-12
750.568,721.432,GND,PWR,3.3,3.3,1.24998e-11
750.568,721.432,PWR,BOTTOM_LAYER,3.3,3.3,-0
776.978,52.9224,TOP_LAYER,GND,2.1142e-07,2.1142e-07,-0
776.978,52.9224,GND,PWR,2.1142e-07,2.1142e-07,2.87824e-19
776.978,52.9224,PWR,BOTTOM_LAYER,2.1142e-07,2.1142e-07,-0
776.978,218.28,TOP_LAYER,GND,2.11911e-07,2.11911e-07,7.93519e-19
776.978,218.28,GND,PWR,2.11911e-07,2.11911e-07,-1.43912e-19
776.978,218.28,PWR,BOTTOM_LAYER,2.11911e-07,2.11911e-07,-3.96759e-19
790.568,843.432,TOP_LAYER,GND,3.3,3.3,-1.87971e-11
790.568,843.432,GND,PWR,3.3,3.3,-1.76133e-11
790.568,843.432,PWR,BOTTOM_LAYER,3.3,3.3,-0
804.176,341.824,TOP_LAYER,GND,2.13377e-07,2.13377e-07,-0
804.176,341.824,GND,PWR,2.13377e-07,2.13377e-07,3.75082e-20
804.176,341.824,PWR,BOTTOM_LAYER,2.13377e-07,2.13377e-07,2.75756e-19
850.176,803.824,TOP_LAYER,GND,2.28516e-07,2.28516e-07,-5.51512e-19
850.176,803.824,GND,PWR,2.28516e-07,2.28516e-07,5.00109e-20
850.176,803.824,PWR,BOTTOM_LAYER,2.28516e-07,2.28516e-07,2.75756e-19
907.568,480.432,TOP_LAYER,GND,3.3,3.3,-6.26571e-12
907.568,480.432,GND,PWR,3.3,3.3,-4.82946e-12
907.568,480.432,PWR,BOTTOM_LAYER,3.3,3.3,-0
949.176,105.432,TOP_LAYER,GND,2.14127e-07,2.14127e-07,2.75756e-19
949.176,105.432,GND,PWR,2.14127e-07,2.14127e-07,3.75082e-20
949.176,105.432,PWR,BOTTOM_LAYER,2.14127e-07,2.14127e-07,2.75756e-19
1049.18,520.123,TOP_LAYER,GND,2.2012e-07,2.2012e-07,-0
1049.18,520.123,GND,PWR,2.2012e-07,2.2012e-07,5.00109e-20
1049.18,520.123,PWR,BOTTOM_LAYER,2.2012e-07,2.2012e-07,2.75756e-19
1068.18,2015.82,TOP_LAYER,GND,2.86616e-07,2.85816e-07,8.33348e-06
1068.18,2015.82,GND,PWR,2.85816e-07,2.85816e-07,5.00109e-20
1068.18,2015.82,PWR,BOTTOM_LAYER,2.85816e-07,2.85816e-07,5.51512e-19
1096.85,1219.43,TOP_LAYER,GND,3.29999,3.29999,-6.26571e-12
1096.85,1219.43,GND,PWR,3.29999,3.29999,-4.54538e-12
1096.85,1219.43,PWR,BOTTOM_LAYER,3.29999,3.29999,6.26571e-12
1102.18,1147.82,TOP_LAYER,GND,2.48087e-07,2.48087e-07,-0
1102.18,1147.82,GND,PWR,2.48087e-07,2.48087e-07,5.00109e-20
1102.18,1147.82,PWR,BOTTOM_LAYER,2.48087e-07,2.48087e-07,5.51512e-19
1189.62,1215.38,TOP_LAYER,GND,2.51317e-07,2.51317e-07,2.01713e-18
1189.62,1215.38,GND,PWR,2.51317e-07,2.51317e-07,-1.00602e-18
1189.62,1215.38,PWR,BOTTOM_LAYER,2.51317e-07,2.51317e-07,-2.01713e-18
1189.62,1815.38,TOP_LAYER,GND,2.76978e-07,2.76978e-07,2.01713e-18
1189.62,1815.38,GND,PWR,2.76978e-07,2.76978e-07,-1.09748e-18
1189.62,1815.38,PWR,BOTTOM_LAYER,2.76978e-07,2.76978e-07,-2.01713e-18
1189.62,1915.38,TOP_LAYER,GND,3.29999,3.29999,-0
1189.62,1915.38,GND,PWR,3.29999,3.29999,-9.97348e-12
1189.62,1915.38,PWR,BOTTOM_LAYER,3.29999,3.29999,-0
